Time,HT,vs,VT
2018/8/19 0:00,Chievo,vs,Juventus
2018/8/19 2:30,Lazio,vs,Napoli
2018/8/20 0:00,Torino,vs,Roma
2018/8/20 2:30,Bologna,vs,Spal
2018/8/20 2:30,Empoli,vs,Cagliari
2018/8/20 2:30,Milan,vs,Genoa
2018/8/20 2:30,Parma,vs,Udinese
2018/8/20 2:30,Sampdoria,vs,Fiorentina
2018/8/20 2:30,Sassuolo,vs,Inter
2018/8/21 2:30,Atalanta,vs,Frosinone
2018/8/26 0:00,Juventus,vs,Lazio
2018/8/26 2:30,Napoli,vs,Milan
2018/8/27 0:00,Spal,vs,Parma
2018/8/27 2:30,Cagliari,vs,Sassuolo
2018/8/27 2:30,Fiorentina,vs,Chievo
2018/8/27 2:30,Frosinone,vs,Bologna
2018/8/27 2:30,Genoa,vs,Empoli
2018/8/27 2:30,Inter,vs,Torino
2018/8/27 2:30,Udinese,vs,Sampdoria
2018/8/28 2:30,Roma,vs,Atalanta
2018/9/1 2:30,Milan,vs,Roma
2018/9/2 0:00,Bologna,vs,Inter
2018/9/2 2:30,Parma,vs,Juventus
2018/9/3 0:00,Fiorentina,vs,Udinese
2018/9/3 2:30,Atalanta,vs,Cagliari
2018/9/3 2:30,Chievo,vs,Empoli
2018/9/3 2:30,Lazio,vs,Frosinone
2018/9/3 2:30,Sampdoria,vs,Napoli
2018/9/3 2:30,Sassuolo,vs,Genoa
2018/9/3 2:30,Torino,vs,Spal
2018/9/16 21:00,Cagliari,vs,Milan
2018/9/16 21:00,Empoli,vs,Lazio
2018/9/16 21:00,Frosinone,vs,Sampdoria
2018/9/16 21:00,Genoa,vs,Bologna
2018/9/16 21:00,Inter,vs,Parma
2018/9/16 21:00,Juventus,vs,Sassuolo
2018/9/16 21:00,Napoli,vs,Fiorentina
2018/9/16 21:00,Roma,vs,Chievo
2018/9/16 21:00,Spal,vs,Atalanta
2018/9/16 21:00,Udinese,vs,Torino
2018/9/23 21:00,Bologna,vs,Roma
2018/9/23 21:00,Chievo,vs,Udinese
2018/9/23 21:00,Fiorentina,vs,Spal
2018/9/23 21:00,Frosinone,vs,Juventus
2018/9/23 21:00,Lazio,vs,Genoa
2018/9/23 21:00,Milan,vs,Atalanta
2018/9/23 21:00,Parma,vs,Cagliari
2018/9/23 21:00,Sampdoria,vs,Inter
2018/9/23 21:00,Sassuolo,vs,Empoli
2018/9/23 21:00,Torino,vs,Napoli
2018/9/27 2:30,Atalanta,vs,Torino
2018/9/27 2:30,Cagliari,vs,Sampdoria
2018/9/27 2:30,Empoli,vs,Milan
2018/9/27 2:30,Genoa,vs,Chievo
2018/9/27 2:30,Inter,vs,Fiorentina
2018/9/27 2:30,Juventus,vs,Bologna
2018/9/27 2:30,Napoli,vs,Parma
2018/9/27 2:30,Roma,vs,Frosinone
2018/9/27 2:30,Spal,vs,Sassuolo
